State,District,City,State_Encoded
Tamil Nadu,Salem,Arasiramani,30
Tamil Nadu,Kapur,Aravakurichi,30
Tamil Nadu,The Nilgiris,Aravankad,30
Tamil Nadu,Vellore,Arcot,30
Bihar,Purba Champaran,Areraj,4
West Bengal,Haora,Argari,34
Tamil Nadu,Pudukkottai,Arimalam,30
Tamil Nadu,Ariyalur,Ariyalur,30
Tamil Nadu,Erode,Ariyappampalayam,30
Tamil Nadu,Vellore,Ariyur,30
Karnataka,Hassan,Arkalgud,16
Himachal Pradesh,Solan,Arki,13
Uttar Pradesh,Kanpur Nagar,Armapur Estate,32
Jammu & Kashmir,Jammu,Arnia,14
Madhya Pradesh,Guna,Aron,19
Kerala,Alappuzha,Arookutty,17
Kerala,Alappuzha,Aroor,17
West Bengal,Puruliya,Arra,34
Bihar,Bhojpur,Arrah,4
Karnataka,Hassan,Arsikere,16
Tamil Nadu,Kanniyakumari,Arumanai,30
Tamil Nadu,Perambalur,Arumbavur,30
Tamil Nadu,Toothukudi,Arumuganeri,30
Tamil Nadu,Virudhunagar,Aruppukkottai,30
Maharashtra,Wardha,Arvi,20
Haryana,Panipat,Asan  Khurd,12
West Bengal,Barddhaman,Asansol,34
Bihar,Munger,Asarganj,4
Madhya Pradesh,Guna,Ashok Nagar,19
Tamil Nadu,Coimbatore,Ashokapuram,30
West Bengal,North Twentyfour Parganas,Ashoknagar Kalyangarh,34
Uttar Pradesh,Ambedaker Nagar,Ashrafpur Kichhauchha,32
Madhya Pradesh,Sehore,Ashta,19
Maharashtra,Sangli,Ashta,20
Andhra Pradesh,Adilabad,Asifabad,1
Orissa,Ganjam,Asika,25
Rajasthan,Bhilwara,Asind,28
Delhi *,South,Asola,9
Haryana,Karnal,Assandh,12
Uttar Pradesh,Banda,Atarra,32
Uttar Pradesh,Auraiya,Atasu,32
Haryana,Mahendragarh,Ateli,12
Orissa,Cuttack,Athagad,25
Tamil Nadu,Erode,Athani,30
Tamil Nadu,Namakkal,Athanur,30
Tamil Nadu,Toothukudi,Athimarapatti,30
Tamil Nadu,Thiruvallur,Athipattu,30
Orissa,Anugul,Athmallik,25
Karnataka,Belgaum,Athni,16
Tamil Nadu,Toothukudi,Athur,30
Tamil Nadu,Kanniyakumari,Athur,30
Uttar Pradesh,Aligarh,Atrauli,32
Uttar Pradesh,Azamgarh,Atraulia,32
Tamil Nadu,Salem,Attayampatti,30
Kerala,Thiruvananthapuram,Attingal,17
Tamil Nadu,Salem,Attur,30
Gujarat,Valsad,Atul,11
Karnataka,Bidar,Aurad,16
Uttar Pradesh,Auraiya,Auraiya,32
West Bengal,Murshidabad,Aurangabad,34
Uttar Pradesh,Bulandshahr,Aurangabad,32
Maharashtra,Aurangabad,Aurangabad,20
Bihar,Aurangabad,Aurangabad,4
Uttar Pradesh,Mathura,Aurangabad Bangar,32
Uttar Pradesh,Unnao,Auras,32
Maharashtra,Latur,Ausa,20
Tamil Nadu,Salem,Avadattur,30
Tamil Nadu,Thiruvallur,Avadi,30
Tamil Nadu,Erode,Avalpoondurai,30
Tamil Nadu,Coimbatore,Avanashi,30
Tamil Nadu,Madurai,Avaniapuram,30
Kerala,Thrissur,Avinissery,17
Uttar Pradesh,Etah,Awagarh,32
Jammu & Kashmir,Pulwama,Awantipora,14
Tamil Nadu,Dindigul,Ayakudi,30
Tamil Nadu,Tirunelveli,Aygudi,30
Uttar Pradesh,Faizabad,Ayodhya,32
Tamil Nadu,Salem,Ayothiapattinam,30
Tamil Nadu,Dindigul,Ayyalur,30
Tamil Nadu,Dindigul,Ayyampalayam,30
Tamil Nadu,Kancheepuram,Ayyampettai,30
Tamil Nadu,Thanjavur,Ayyampettai,30
Uttar Pradesh,Azamgarh,Azamgarh,32
Tamil Nadu,Kanniyakumari,Azhagiapandiapuram,30
Kerala,Kannur,Azhikode North,17
Kerala,Kannur,Azhikode South,17
Uttar Pradesh,Agra,Azizpur,32
Uttar Pradesh,Azamgarh,Azmatgarh,32
Tamil Nadu,Dharmapuri,B. Mallapuram,30
Tamil Nadu,Theni,B. Meenakshipuram,30
Madhya Pradesh,Hoshangabad,Babai,19
Delhi *,North East,Babar Pur,9
Uttar Pradesh,Auraiya,Babarpur Ajitmal,32
Uttar Pradesh,Banda,Baberu,32
Maharashtra,Hingoli,Babhulgaon,20
Uttar Pradesh,Jhansi,Babina,32
Haryana,Ambala,Babiyal,12
West Bengal,Nadia,Bablari Dewanganj,34
Uttar Pradesh,Budaun,Babrala,32
Jharkhand,Dhanbad,Babua Kalan,15
Uttar Pradesh,Ghaziabad,Babugarh,32
Uttar Pradesh,Jyotiba Phule Nagar,Bachhraon,32
Uttar Pradesh,Rae Bareli,Bachhrawan,32
Uttar Pradesh,Mathura,Bad,32
Madhya Pradesh,Chhatarpur,Bada Malhera,19
Madhya Pradesh,Tikamgarh,Badagaon,19
Madhya Pradesh,Shajapur,Badagoan,19
Karnataka,Bagalkot,Badami,16
Jammu & Kashmir,Srinagar,Badami Bagh,14
Assam,Karimganj,Badarpur,3
Assam,Karimganj,Badarpur Rly Town,3
Madhya Pradesh,Shivpuri,Badarwas,19
Madhya Pradesh,Ratlam,Badawada,19
Himachal Pradesh,Solan,Baddi,13
Chhattisgarh,Dantewada,Bade Bacheli,6
Andhra Pradesh,Mahbubnagar,Badepalle,1
Jammu & Kashmir,Badgam,Badgam,14
West Bengal,Hugli,Badhagachhi,34
Tripura,West Tripura,Badharghat,31
Punjab,Moga,Badhni Kalan,27
Madhya Pradesh,Raisen,Badi,19
Madhya Pradesh,Chhindwara,Badkuhi,19
Maharashtra,Thane,Badlapur,20
Madhya Pradesh,Ujjain,Badnagar,19
Madhya Pradesh,Dhar,Badnawar,19
Madhya Pradesh,Shajapur,Badod,19
Madhya Pradesh,Sheopur,Badoda,19
Madhya Pradesh,Shahdol,Badra,19
Uttaranchal,Chamoli,Badrinathpuri,33
West Bengal,North Twentyfour Parganas,Baduria,34
Bihar,Pashchim Champaran,Bagaha,4
Karnataka,Bagalkot,Bagalkot,16
Gujarat,Amreli,Bagasara,11
